               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 136,            0.032799,            0.016986,           0.0010373,             0.62176,             0.61837,             0.58244,             0.16301,            0.056095,            0.031446,            0.015394,             0.00109,             0.00109,             0.00109
                 137,            0.032137,            0.017068,           0.0012944,             0.64205,             0.63508,               0.622,             0.16641,            0.056014,            0.031464,            0.015412,            0.001024,            0.001024,            0.001024
                 138,            0.031352,            0.018072,          0.00086619,             0.60637,             0.61663,             0.61885,             0.16518,            0.055889,            0.031295,            0.015202,            0.000958,            0.000958,            0.000958
                 139,            0.030332,            0.015141,          0.00079238,             0.60694,             0.61471,             0.61632,             0.15863,            0.056127,             0.03145,            0.015086,            0.000892,            0.000892,            0.000892
                 140,            0.032185,            0.015944,           0.0011505,             0.64153,             0.64287,             0.62005,             0.15269,            0.056268,            0.031598,            0.015144,            0.000826,            0.000826,            0.000826
                 141,            0.032505,            0.017135,           0.0011594,             0.63103,             0.64412,             0.61106,             0.16304,            0.055834,              0.0317,            0.015059,             0.00076,             0.00076,             0.00076
                 142,            0.032089,            0.015528,           0.0012576,             0.61226,             0.64412,             0.61108,             0.16357,            0.056024,             0.03182,             0.01485,            0.000694,            0.000694,            0.000694
                 143,            0.031624,             0.01529,           0.0010639,             0.61633,             0.64412,             0.60188,             0.15817,            0.056164,            0.031929,            0.014784,            0.000628,            0.000628,            0.000628
                 144,            0.030594,            0.015596,           0.0010249,              0.6179,             0.64412,             0.60218,             0.16505,            0.056182,            0.031965,            0.014807,            0.000562,            0.000562,            0.000562
                 145,            0.030825,            0.018094,           0.0010398,             0.61671,             0.61912,             0.58531,             0.15852,            0.056173,            0.032251,            0.014859,            0.000496,            0.000496,            0.000496
                 146,            0.030217,            0.016387,           0.0013276,              0.6176,             0.61912,             0.59545,             0.15625,              0.0563,            0.032314,            0.014877,             0.00043,             0.00043,             0.00043
                 147,            0.031559,            0.016146,            0.000989,             0.61924,             0.61912,             0.58517,             0.15449,            0.056498,            0.032486,            0.014884,            0.000364,            0.000364,            0.000364
                 148,            0.030799,            0.015602,          0.00095337,             0.61548,             0.61912,             0.59134,             0.15609,             0.05662,            0.032547,            0.014791,            0.000298,            0.000298,            0.000298
                 149,            0.031226,            0.016296,            0.001146,             0.63355,             0.61912,             0.58924,             0.15318,             0.05663,            0.032574,            0.014731,            0.000232,            0.000232,            0.000232
